Gemeenten;Vraagprijs aangeboden woningen|2021;Bevolking totaal|2021;Leeftijd bevolking|2021;Bevolkingsdichtheid|2021;Migratieachtergrond - Nederlandse achtergrond|2021;Migratieachtergrond - Westers|2021;Migratieachtergrond - Niet-westers|2021;Migratieachtergrond - Totaal|2021;Totaal misdrijven|2021;Misdrijven - Diefstal/inbraak woning|2021;Werkloosheidspercentage|2021;Besteedbaar inkomen per huishouden|2019
Aa en Hunze;469107;25399;47,3;92;23719;1062;618;1680;605;23;3,4;47,1
Aalsmeer;658553;31991;42,2;1590;25117;3708;3166;6874;1008;34;3,8;55
Aalten;347721;27120;44,5;281;23997;2159;964;3123;496;15;2,9;44,1
Achtkarspelen;357519;27900;42,3;273;26631;666;603;1269;631;8;3,9;40,4
Alblasserdam;366321;20136;41,3;2293;17037;1404;1695;3099;593;16;3,7;46,3
Albrandswaard;577048;25814;41,9;1190;20024;2070;3720;5790;961;24;3,6;57,2
Alkmaar;414307;109896;42,8;995;84758;10713;14425;25138;4999;97;3,8;42,7
Almelo;315996;73132;42,5;1087;53549;7740;11843;19583;3582;84;4,8;39,2
Almere;407574;214715;38,4;1662;118876;23554;72285;95839;8640;373;5,7;45,2
Alphen aan den Rijn;438304;112587;42,2;892;88721;10692;13174;23866;4208;114;3,7;48,2
Alphen-Chaam;606771;10373;45,1;111;8862;1208;303;1511;294;19;2,9;52,5
Altena;443769;56352;42;281;51911;2767;1674;4441;1420;72;2,8;49,8
Ameland;554807;3746;44,2;63;3439;239;68;307;95;2;3,4;?
Amersfoort;433554;157462;40;2515;117512;14073;25877;39950;6313;205;4,4;47,5
Amstelveen;699646;90829;41,7;2208;48301;18354;24174;42528;3601;186;5;50,7
Amsterdam;665010;893783;38,8;5177;397377;175869;320537;496406;64469;1761;6,5;41,7
Apeldoorn;428049;164781;43,3;485;134472;13859;16450;30309;6851;267;3,5;44,3
Arnhem;370025;162424;40,1;1660;108400;19419;34605;54024;10556;298;5,9;37,4
Assen;312559;68836;43;841;57484;5451;5901;11352;3336;81;3,7;40,9
Asten;463194;16817;44,2;240;14935;1245;637;1882;564;26;3,1;46,7
Baarle-Nassau;492016;6899;47;91;5119;1555;225;1780;216;10;3,3;46,6
Baarn;938739;24792;45,2;762;20184;2450;2158;4608;872;71;3,4;54,5
Barendrecht;481270;48643;41,5;2463;35957;3885;8801;12686;1747;43;3,9;55,5
Barneveld;400189;59992;38,5;341;54544;2494;2954;5448;1930;77;3,2;51,2
Beek;366861;15875;47,1;755;13462;1609;804;2413;566;13;3,4;45
Beekdaelen;393621;36065;47;461;30333;4436;1296;5732;1026;35;3,1;45,5
Beesel;324445;13450;45,6;481;11130;1520;800;2320;398;11;3,6;43,4
Berg en Dal;452423;35010;46,3;406;29953;3528;1529;5057;1108;33;3,3;44,8
Bergeijk;517782;18754;44,7;186;16681;1561;512;2073;502;21;2,7;51,7
Bergen (L.);455359;13108;46,2;127;11006;1697;405;2102;508;32;3,4;44,7
Bergen (NH.);1009989;29715;50,2;300;25643;2906;1166;4072;869;24;3,1;56
Bergen op Zoom;371105;67514;44;844;49785;7190;10539;17729;3445;114;3,9;43,3
Berkelland;412973;43846;46;170;40288;2214;1344;3558;1003;39;3;44,6
Bernheze;532496;31455;43,3;351;28521;1940;994;2934;918;40;2,9;51,6
Best;590294;30216;42,9;881;24725;3037;2454;5491;1157;38;3,8;51,9
Beuningen;369427;26157;43,7;599;22672;2036;1449;3485;780;29;3,1;48,9
Beverwijk;338943;41863;41,9;2275;29894;5184;6785;11969;1796;56;4,1;42,6
Bladel;547090;20529;43,9;273;18360;1495;674;2169;646;28;3;49,1
Blaricum;1492794;11954;43,6;1076;9514;1317;1123;2440;343;20;3,4;102,3
Bloemendaal;1187580;23478;46,3;590;18952;3249;1277;4526;945;52;3,6;80,6
Bodegraven-Reeuwijk;833765;35278;42,1;468;30330;2385;2563;4948;1136;58;3;54,6
Boekel;448685;10959;42;318;10010;696;253;949;283;27;2,9;50,9
Borger-Odoorn;342850;25598;46,3;93;23959;1081;558;1639;605;17;3,4;43,6
Borne;357659;23668;43;910;21036;1486;1146;2632;601;15;3,2;47,8
Borsele;319664;22818;43,1;161;20623;1500;695;2195;470;7;2,9;47,3
