Gemeente;Gemiddelde vraagprijs aangeboden woningen;Bevolking totaal;Gemiddelde leeftijd bevolking;Bevolkingsdichtheid;Autochtonen totaal;Allochtonen Westers;Allochtonen Niet Westers;Allochtonen totaal;Misdrijven totaal;Diefstal/inbraak;Werkloosheidspercentage;Besteedbaar inkomen per huishouden|2019;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV;CDA;SP;PvdA;GROENLINKS;FvD;PvdD;ChristenUnie;Volt;JA21;SGP;DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;TROTS;Lijst Henk Krol;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;U-Buntu Connected Front;Vrij en Sociaal Nederland;PvdE;Wij zijn Nederland;PvdR;Modern Nederland;De Groenen
's-Hertogenbosch;488020;155490;42.0;1414;122514;14291;18685;32976;8398;251.0;3.2;45.1;G0796;10054;'s-Hertogenbosch;K18;121353;95871;186;153;95532;22850;18016;10877;6466;6900;4742;5888;4279;4063;840;2955;1861;131;1909;979;254.0;519;282;370;320.0;239;168.0;166.0;94.0;72.0;105.0;44;32.0;18.0;73.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0
Aa en Hunze;469107;25399;47.3;92;23719;1062;618;1680;605;23.0;3.4;47.1;G1680;10787;Assen;K3;20921;17444;32;25;17387;4323;2679;1482;1429;1290;1880;835;691;746;411;311;328;58;11;171;467.0;35;41;5;60.0;28;18.0;24.0;9.0;11.0;26.0;4;9.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
Aalsmeer;658553;31991;42.2;1590;25117;3708;3166;6874;1008;34.0;3.8;55.0;G0358;11264;Haarlem;K10;23249;19563;23;35;19505;6301;2742;2068;2114;636;794;561;950;591;743;344;702;114;165;180;74.0;81;56;36;63.0;42;26.0;39.0;25.0;14.0;0.0;12;11.0;0.0;12.0;2.0;5.0;0.0;2.0;0.0;0.0;0.0
Aalten;347721;27120;44.5;281;23997;2159;964;3123;496;15.0;2.9;44.1;G0197;11046;Arnhem;K7;21386;17215;18;16;17181;3782;2045;1470;3241;1133;872;617;737;363;876;177;355;109;73;180;899.0;20;60;4;29.0;24;31.0;22.0;17.0;14.0;9.0;5;4.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Achtkarspelen;357519;27900;42.3;273;26631;666;603;1269;631;8.0;3.9;40.4;G0059;10199;Leeuwarden;K2;21772;16976;20;27;16929;2193;1071;2923;3047;1077;1117;365;1652;356;1603;123;273;351;7;85;418.0;19;67;4;28.0;16;28.0;43.0;10.0;8.0;0.0;8;15.0;16.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0
Alblasserdam;366321;20136;41.3;2293;17037;1404;1695;3099;593;16.0;3.7;46.3;G0482;11327;Dordrecht;K14;15070;12203;25;16;12162;2115;1059;1330;1044;619;677;254;679;287;1084;78;332;2006;206;150;40.0;30;54;28;25.0;11;15.0;0.0;9.0;4.0;5.0;1;7.0;11.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
Albrandswaard;577048;25814;41.9;1190;20024;2070;3720;5790;961;24.0;3.6;57.2;G0613;10124;Dordrecht;K14;19624;15859;16;22;15821;4578;2069;1991;1215;783;694;439;854;572;445;273;901;204;192;201;45.0;85;89;28;54.0;24;18.0;0.0;16.0;12.0;16.0;7;4.0;10.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
Alkmaar;414307;109896;42.8;995;84758;10713;14425;25138;4999;97.0;3.8;42.7;G0361;10527;Den Helder;K11;85247;68680;170;132;68378;14207;12290;6100;4630;4506;4413;4671;3979;3966;1019;1705;1669;164;1220;804;701.0;427;355;233;308.0;233;105.0;162.0;57.0;84.0;169.0;60;29.0;30.0;59.0;13.0;0.0;0.0;10.0;0.0;0.0;0.0
Almelo;315996;73132;42.5;1087;53549;7740;11843;19583;3582;84.0;4.8;39.2;G0141;11053;Zwolle;K4;55728;40939;125;61;40753;8416;4501;6293;5184;2758;2379;1414;2685;1062;1296;545;882;225;1485;386;416.0;78;149;99;63.0;81;46.0;89.0;38.0;31.0;31.0;24;40.0;34.0;0.0;3.0;0.0;13.0;7.0;0.0;0.0;0.0
Almere;407574;214715;38.4;1662;118876;23554;72285;95839;8640;373.0;5.7;45.2;G0034;10018;Lelystad;K5;152746;109261;339;257;108665;23803;15672;13011;5130;6899;5890;6086;7035;4831;2474;2249;2766;354;3740;1579;284.0;3658;574;873;426.0;432;237.0;0.0;132.0;131.0;0.0;74;80.0;102.0;0.0;101.0;0.0;42.0;0.0;0.0;0.0;0.0
Alphen aan den Rijn;438304;112587;42.2;892;88721;10692;13174;23866;4208;114.0;3.7;48.2;G0484;10517;Leiden;K15;85935;69972;130;154;69688;18259;10223;6648;7041;3404;2872;2785;3573;2372;3071;1364;2059;1738;1239;706;485.0;285;354;288;246.0;143;151.0;0.0;52.0;74.0;111.0;42;60.0;26.0;0.0;9.0;0.0;0.0;0.0;0.0;8.0;0.0
Alphen-Chaam;606771;10373;45.1;111;8862;1208;303;1511;294;19.0;2.9;52.5;G1723;10710;Tilburg;K17;8165;6911;11;12;6888;2251;861;693;1108;378;195;186;314;214;40;105;185;4;6;79;174.0;6;21;1;16.0;5;9.0;0.0;8.0;7.0;4.0;2;1.0;3.0;9.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
Altena;443769;56352;42.0;281;51911;2767;1674;4441;1420;72.0;2.8;49.8;G1959;10078;Tilburg;K17;43318;35415;30;33;35352;7451;2510;4372;4841;1448;1091;627;2253;780;3424;311;818;4387;37;274;281.0;45;95;5;71.0;38;34.0;0.0;27.0;27.0;12.0;10;13.0;48.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ameland;554807;3746;44.2;63;3439;239;68;307;95;2.0;3.4;46.5;G0060;11153;Leeuwarden;K2;2935;2893;3;7;2883;753;352;263;453;126;206;93;130;97;60;51;94;9;2;15;132.0;3;11;0;8.0;6;4.0;8.0;2.0;2.0;0.0;0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
